username,tweet_id,timestamp,text,likes,retweets
trondao,1780129180166008976,2024-04-16T07:00:44.000Z,"Music is about to change FOREVER! 
@HansZimmer
 + 
@justinsuntron
 +  
@trondao
 = The #TRONAnthem. 

This isn't just a soundtrack, it's the sound of the future.  #TRONICS, brace yourselves for the ultimate music x  experience!  

Listen Now! 
https://youtube.com/watch?v=4lblmnZfugM…",0,0
trondao,1883955529900515467,2025-01-27T19:09:35.000Z,"TRON Portal is Officially Live on 
@MessariCrypto
 

 AI-driven insights and Key Updates section, curating the latest TRON news.

 Real-time data and detailed analytics on the TRON network.

 Quarterly reports section, providing detailed insights into the ecosystem’s",165,48
trondao,1883923180714352914,2025-01-27T17:01:02.000Z,Join below in 1 hour to hear about TRON Portal and the Q4 2024 TRON update.,37,17
trondao,1883907637856911412,2025-01-27T15:59:16.000Z,"Introducing http://tron.messari.io

Your Portal for quantitative and qualitative insights within the 
@trondao
 ecosystem.

The official source of truth for the entire TRON community.",106,44
trondao,1882727006909137120,2025-01-24T09:47:52.000Z,".
@worldlibertyfi
 now holds over $10M in $TRX, an interesting development. However, WLFi isn't the only major player acquiring TRX. 

Over the past years, TRX whales have steadily augmented their holdings, signaling confidence in the 
@trondao
 network.",133,48
trondao,1882528609698795644,2025-01-23T20:39:30.000Z,"TRON H2 2024: Dominating Stablecoin Ecosystem While Pioneering New Horizons

At CryptoRank, we analyzed the factors driving the recent bullish momentum of $TRX and identified key drivers behind its performance. Here’s what we found",0,0
trondao,1882851976016273468,2025-01-24T18:04:27.000Z,Bundle up and take a closer look—6 TRON Bulls are hiding in this winter village!  Can you spot them all?,164,55
trondao,1882752250533286146,2025-01-24T11:28:11.000Z,0 fee solution,0,165
trondao,1882765738194407581,2025-01-24T12:21:46.000Z," Hong Kong

#TRON is heading to #ConsensusHK!  See you there! ",147,42
trondao,1882667532336996546,2025-01-24T05:51:32.000Z,"Something new is landing on 
@bitbank_inc
 on January 27. ",100,34
trondao,1882564933323485670,2025-01-23T23:03:51.000Z,,85,33
trondao,1882319856751579468,2025-01-23T06:50:00.000Z,JUST IN: TRON founder Justin Sun announces the TRON development teams are working to deliver a zero-fee stablecoin transactions experience for its users.,0,296
trondao,1882549616551305640,2025-01-23T22:02:59.000Z,"Curious about TRON's Stablecoin dominance?

Read the H2 2024 Report by 
@CryptoRank_io
 
https://cryptorank.io/insights/research/tron-h-2-2024…",110,39
trondao,1882537379166294093,2025-01-23T21:14:21.000Z,Yes.,471,109
trondao,1882511291576926573,2025-01-23T19:30:41.000Z,"Join us LIVE on Jan. 27th at 1pm EST to hear about #TRON Portal being launched on Messari + a Q4 2024 TRON recap with 
@MessariCrypto
! 

Tune in here: 
https://x.com/i/spaces/1OwxWNNWrBnJQ…",180,62
trondao,1881600061207154902,2025-01-21T07:09:47.000Z,"#TRON  
@DSAForg",122,33
trondao,1881581428414234912,2025-01-21T05:55:45.000Z,"Day 4 in Washington, D.C.

#TRON is honored to attend the Starlight Ball to celebrate the beginning of 
@realDonaldTrump
's presidency. 

We are proud to contribute to conversations on blockchain innovation and work toward a brighter future.

Let's #MakeCryptoGreatAgain 
@POTUS
.",201,55
trondao,1881531296243224916,2025-01-21T02:36:32.000Z,"All in the honor of the 47th! 
@realDonaldTrump
 @worldlibertyfi",153,37
trondao,1881513596875841715,2025-01-21T01:26:12.000Z,"Starlight Ball, Washington, D.C.",130,26
trondao,1881457386671464804,2025-01-20T21:42:51.000Z,"To commemorate the inauguration of Donald J. Trump as the 47th President of the United States, $WLFI is proud to announce the following strategic purchases today:

$47,000,000 ETH
$47,000,000 wBTC
$4,700,000 Aave
$4,700,000 LINK
$4,700,000 TRX
$4,700,000 ENA

Excited for the",0,0
trondao,1881406041348505919,2025-01-20T18:18:49.000Z,The 47th President of the United States – we have become a part of history.,801,132
trondao,1881386249623326812,2025-01-20T17:00:11.000Z,"We congratulate President 
@realDonaldTrump
 , Vice President 
@JDVance
 and the incoming administration on this historic day.

Let's #MakeCryptoGreatAgain. ",367,52
trondao,1881336448168976438,2025-01-20T13:42:17.000Z,Building the Treasury for the Future of America ,0,234
trondao,1880844030738829756,2025-01-19T05:05:35.000Z,"As Day 2 comes to a close, #TRON is honored to have been invited to The President’s Reception.

Thank you, 
@realDonaldTrump
 , for hosting such a meaningful event that highlights the importance of innovation and progress.

Together, we’re helping shine a light on the incredible",299,70
